iter	Passed	Remaining
412	4245	894
413	4255	883
414	4264	873
415	4275	863
416	4285	852
417	4295	842
418	4304	832
419	4314	821
420	4324	811
421	4335	801
422	4346	791
423	4356	780
424	4368	770
425	4378	760
426	4387	750
427	4399	740
428	4409	729
429	4420	719
430	4430	709
431	4442	699
432	4452	688
433	4463	678
434	4473	668
435	4482	658
436	4492	647
437	4503	637
438	4513	627
439	4523	616
440	4534	606
441	4546	596
442	4556	586
443	4566	575
444	4576	565
445	4586	555
446	4595	544
447	4604	534
448	4614	524
449	4625	513
450	4635	503
451	4644	493
452	4654	482
453	4664	472
454	4674	462
455	4683	451
456	4693	441
457	4704	431
458	4714	421
459	4724	410
460	4734	400
461	4744	390
462	4753	379
463	4763	369
464	4773	359
465	4782	348
466	4792	338
467	4803	328
468	4812	318
469	4822	307
470	4832	297
471	4842	287
472	4853	277
473	4863	266
474	4872	256
475	4882	246
476	4893	235
477	4903	225
478	4913	215
479	4922	205
480	4933	194
481	4941	184
482	4951	174
483	4961	164
484	4972	153
485	4982	143
486	4994	133
487	5006	123
488	5015	112
489	5026	102
490	5037	92
491	5047	82
492	5058	71
493	5068	61
494	5079	51
495	5089	41
496	5098	30
497	5109	20
498	5119	10
499	5129	0
