iter	RMSE
437	0.6097737407
438	0.6095715222
439	0.6090790191
440	0.6084048151
441	0.6079432177
442	0.6076893268
443	0.6074638899
444	0.6069587764
445	0.6067278092
446	0.6063739137
447	0.6061118262
448	0.6054322387
449	0.6050455435
450	0.6038975646
451	0.6037417017
452	0.6030276979
453	0.6024518369
454	0.6021368322
455	0.6006703816
456	0.6005379536
457	0.5998219813
458	0.5988724282
459	0.5985419739
460	0.5979140968
461	0.5976003057
462	0.5971981372
463	0.5968690795
464	0.5966378104
465	0.5963882896
466	0.5959347774
467	0.5955599573
468	0.5952795274
469	0.5947847502
470	0.5945150067
471	0.594169978
472	0.5937997612
473	0.5933389808
474	0.5930166252
475	0.5927664375
476	0.5924420463
477	0.5922124882
478	0.5917892404
479	0.5916354366
480	0.591426481
481	0.5912652602
482	0.5909904237
483	0.5908296735
484	0.5905326879
485	0.5903250915
486	0.5901844288
487	0.5898727391
488	0.5896607643
489	0.5894773748
490	0.5888521132
491	0.5884998761
492	0.5880571112
493	0.5877988122
494	0.5871166028
495	0.5868909932
496	0.5866140768
497	0.5852992387
498	0.5851354025
499	0.5848348165
